y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
3.576470588,7.1,18.8,-1.6,7054,17.5,22.5,16,78.7,84.1,96.6,46.9,506,63,95,6026,16269,14000,7560,2.31,1.23,1.07,0.46,2.6,5.85,3.96,5.87,17.5,167.8,33,25,23,9.9,23.3,16,12.8,34.8,0.5,0.6,2.6,0.71,4219,4053,4938,200
3.126666667,7,18.7,-2.5,7216,17.8,22.8,15.8,80.9,86.3,100,51.2,493,62,90,5554,14997,9650,5211,2.08,1.36,0.72,0.35,2.6,5.82,3.94,5.94,14.5,182.3,31,22,21.8,9.7,20.5,17,13.3,36.2,0.5,0.5,2,0.72,3880,4294,5051,200
2.969411765,11.1,18.9,3.7,4374,18,21.9,16.9,87.1,90.8,99,60,481,61,54,3285,8870,5250,2835,2.03,1.38,0.65,0.32,2.7,5.99,4.46,5.9,19.3,201.5,39.8,30.3,20.5,10.5,23.5,18,13.5,36.9,0.9,0.9,3.4,0.69,2809,4426,3062,200
4.685098039,3,15.1,-4.7,4971,17,21.5,15.9,87.8,85.3,100,43.6,479,66,57,3738,10091,7467,4032,2.03,1.22,0.81,0.4,2.4,5.97,4.44,5.81,16,217.5,35.5,26.5,18.8,10.4,23.8,18.3,13.3,36.2,0.6,0.2,2.4,0.68,2892,3931,3480,200
2.711372549,1.7,11.1,-4.6,4610,16.9,22,15.8,87.3,86.4,100,69.8,465,65,55,3599,9716,5800,3132,2.11,1.43,0.68,0.32,2.2,5.96,3.8,5.9,12.8,230.3,30,21,18.8,8.9,21.3,19.2,12.5,34.2,0.6,0.9,1.6,0.65,2184,3735,3227,200
1.874117647,0.3,10.2,-7.7,5479,17,22.2,16,86.1,86.8,96.1,66.2,472,63,58,3637,9821,6400,3456,1.79,1.16,0.63,0.35,2.4,6.14,3.27,5.94,19.5,249.8,38.3,26.8,16,10.1,23.3,20.2,12.8,34.8,0.3,0.6,2.2,0.69,3088,3835,3835,200
2.449019608,0.9,11.2,-7.5,6143,17.3,23,16,86.9,85.4,97.8,71.6,460,58,62,3605,9733,6100,3294,1.58,1.05,0.54,0.34,2.3,5.95,3.16,5.93,13.5,263.3,34,23.3,15.8,9.9,23.5,21.2,13,35.5,0.6,0.6,1.7,0.67,3003,4009,4300,200
2.383137255,-0.1,11.9,-9.3,5533,17.1,21.5,16.1,88.2,86.7,95.8,63.9,465,60,57,3404,9190,4680,2527,1.66,1.2,0.46,0.27,2.5,5.92,3.36,5.95,15.5,278.8,30,25.5,17,9.6,26,22.2,14.5,39.6,0.9,0.5,1.8,0.73,2773,4271,3873,200
2.512156863,2,13.4,-4.5,6930,17.5,22.9,16.3,86.4,84.3,100,68.2,442,59,67,3924,10596,6300,3402,1.53,1.04,0.49,0.32,2.4,5.95,3.22,5.95,19.5,298.3,33,25.5,19.5,10.7,23.8,23.2,15,41,0.4,0.4,2.2,0.79,3909,4573,4851,200
2.367843137,1.2,10.9,-6.5,5798,17.2,22,15.9,86.6,84.4,96.8,63.3,479,66,62,4083,11024,5720,3089,1.9,1.37,0.53,0.28,2.5,5.91,3.48,5.98,18.5,316.8,33,24.3,20,10.2,26.3,24.2,13.5,36.9,0.5,0.9,2.2,0.68,3234,4084,4059,200
2.165490196,2.1,10.2,-9.1,6020,17.4,23,16.2,82.8,86,96.4,56.1,503,67,71,4767,12871,9683,5229,2.14,1.27,0.87,0.41,2.5,6.01,3.71,5.96,18.8,335.5,34.3,26.3,16.8,10.1,28.5,25.2,14.5,39.6,0.8,0.3,2.1,0.72,3262,4406,4214,200
1.380784314,1.7,11.2,-5.6,5440,17.2,22.2,16.1,87.5,84.1,97.5,63.9,504,67,59,3928,10605,9275,5009,1.95,1.03,0.92,0.47,2.5,5.96,3.6,5.96,15,350.5,30,22.5,15.3,9.8,28,26.3,12.5,34.2,0.3,0.5,1.4,0.57,2361,3550,3808,180
2.290588235,0.4,9.1,-8.8,7360,17.6,23.5,16.1,83.1,81.5,94.5,60,442,58,77,4499,12147,8900,4806,1.65,1,0.65,0.4,2.3,5.96,3.09,6.08,14.5,365,33,23,17.5,7.8,24.8,27.3,12.8,34.8,0.7,0.9,1.8,0.6,3733,3765,5152,180
1.723529412,0.2,11.5,-8.6,9150,17.9,32.6,16.2,82.4,79.9,94.2,60.5,489,62,86,5307,14330,9100,4914,1.57,1.03,0.54,0.34,2.3,5.91,2.93,6.23,16.5,381.5,32.8,24.5,15.3,10,25.5,28.3,15.5,42.4,0.5,0.4,1.7,0.68,4427,4515,6405,180
1.957647059,5.8,18.6,-4.2,5050,17.7,22.1,16.4,89,89.5,98,64.4,538,73,50,3657,9874,5833,3150,1.96,1.33,0.62,0.32,2.6,6.09,3.53,6.23,17.3,398.8,35,27,17.3,11.5,20.5,29.3,13.3,36.2,0.2,0.5,2.2,0.65,2840,3910,3535,180
2.103137255,3.8,12.7,-4.9,8770,18.2,25.3,16.3,82.5,83.3,94.4,60.3,466,71,78.2,5511,14879,6300,3402,1.7,1.31,0.39,0.23,2.4,5.97,4.58,6.08,15,413.8,32,20.8,18.3,9.3,21,30.3,13.5,36.9,1.1,0.7,1.7,0.62,4219,4188,6139,180
2.796470588,3.2,14,-4.6,10440,18.5,26.4,16.5,80.4,82.7,94.4,49,496,65,116,7490,20224,14600,7884,1.94,1.18,0.76,0.39,2.2,5.97,4.55,5.64,16.8,430.5,33.3,25,16.8,9.1,23.8,31.4,13.5,36.9,0.3,0.4,1.9,0.64,5433,4311,7308,180
1.71254902,4,26.6,-4.3,11780,18.7,26.2,16.6,73.6,84.2,96.1,43.1,522,61,129,7906,21346,17600,9504,1.81,1.01,0.81,0.45,2.1,5.98,3.21,6.14,16,446.5,30,22.5,18,8.9,31.3,32.3,13,35.5,0.4,0.6,1.7,0.72,5676,4247,8246,180
1.968627451,11.2,23.1,-2.7,10710,19.6,26.7,16.9,73,87.1,98.1,29.8,463,69,113,7797,21052,12220,6599,1.97,1.35,0.62,0.31,2.3,5.9,3.5,5.97,16.5,463,36.3,27,17,9.9,20,33.3,14.5,39.6,0.8,0.5,2.3,0.74,6079,5003,7497,180
3.438039216,7.1,20.7,-5.1,14696,19.5,27.1,16.6,64.8,75.2,100,27.4,445,70,158,11128,30045,20500,11070,2.04,1.29,0.75,0.37,2.2,5.95,3.97,5.93,17,480,30.5,24,15.3,10.4,22,34.2,15,41,1.1,0.8,1.5,0.69,6722,5092,10287,180
2.720784314,13.5,22.8,1.6,7876,19,24.3,17.1,68,73.7,84.5,34.2,475,72,102,7315,19750,17000,9180,2.51,1.34,1.17,0.46,2.3,6.05,3.97,5.93,15.8,495.8,27.8,20.5,19,9.5,20.8,35.3,14.3,38.9,1,1.2,1.5,0.64,3529,4687,5513,180
2.177647059,10.6,22.5,2.1,10233,18.6,24.5,16.6,63.6,64.6,80.6,32.7,461,75,121,9127,24643,24200,13068,2.41,1.13,1.28,0.53,2.2,5.92,3.51,5.93,15.5,511.3,30.8,21.8,15.3,8,22.8,36.4,13.5,36.9,0.9,0.8,1.4,0.62,4415,4340,7163,180
2.837254902,11.2,24,1.1,10606,18.8,25.3,16.7,57.7,64.9,78.6,17.7,463,73,117,8491,22925,16700,9018,2.16,1.31,0.85,0.39,2.1,5.92,3.46,5.85,14,525.3,25.3,19.8,15,6.9,23,37.4,13.8,37.6,0.1,0.2,1,0.65,3669,4496,7424,180
3.309803922,13.8,27.2,3.6,12200,19.5,26.2,16.7,61.1,67.3,94.7,27.9,427,71,144,10245,27660,22900,12366,2.27,1.25,1.01,0.45,2.3,5.91,3.57,5.85,12.8,538,25.3,17.8,16.5,7.2,18.5,38.3,15.3,41.7,0.9,1,1,0.71,4184,5158,8540,180
